NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,75.450203,sanaz,"April 28, 2021 at 08:24PM"
temperatureF,74.321602,sanaz,"April 28, 2021 at 08:25PM"
temperatureF,76.400597,sanaz,"April 28, 2021 at 08:26PM"
temperatureF,72.420799,sanaz,"April 28, 2021 at 08:27PM"
temperatureF,77.054001,sanaz,"April 28, 2021 at 08:28PM"
temperatureF,74.262199,sanaz,"April 28, 2021 at 08:29PM"
temperatureF,74.678001,sanaz,"April 28, 2021 at 08:30PM"
temperatureF,73.311798,sanaz,"April 28, 2021 at 08:31PM"
temperatureF,73.965195,sanaz,"April 28, 2021 at 08:32PM"
temperatureF,75.806602,sanaz,"April 28, 2021 at 08:33PM"
temperatureF,72.658401,sanaz,"April 28, 2021 at 08:34PM"
temperatureF,72.895996,sanaz,"April 28, 2021 at 08:35PM"
temperatureF,76.638199,sanaz,"April 28, 2021 at 08:36PM"
temperatureF,72.420799,sanaz,"April 28, 2021 at 08:37PM"
temperatureF,72.836601,sanaz,"April 28, 2021 at 08:38PM"
temperatureF,73.9058,sanaz,"April 28, 2021 at 08:39PM"
temperatureF,74.262199,sanaz,"April 28, 2021 at 08:40PM"
temperatureF,76.341202,sanaz,"April 28, 2021 at 08:41PM"
temperatureF,73.965195,sanaz,"April 28, 2021 at 08:42PM"
temperatureF,75.866005,sanaz,"April 28, 2021 at 08:43PM"
temperatureF,76.578804,sanaz,"April 28, 2021 at 08:44PM"
temperatureF,76.1036,sanaz,"April 28, 2021 at 08:45PM"
temperatureF,77.172798,sanaz,"April 28, 2021 at 08:46PM"
temperatureF,74.380997,sanaz,"April 28, 2021 at 08:47PM"
temperatureF,75.7472,sanaz,"April 28, 2021 at 08:48PM"
temperatureF,76.1036,sanaz,"April 28, 2021 at 08:49PM"
temperatureF,75.806602,sanaz,"April 28, 2021 at 08:50PM"
temperatureF,73.430603,sanaz,"April 28, 2021 at 08:51PM"
temperatureF,76.994598,sanaz,"April 28, 2021 at 08:52PM"
temperatureF,75.628403,sanaz,"April 28, 2021 at 08:53PM"
temperatureF,75.628403,sanaz,"April 28, 2021 at 08:54PM"
